lat,lon,grnd,gebco,uncertainty,tid_flag
-28.96252,-33.52067,2974.448,2997.0,379.9,9998
-28.98474,-33.53296,2988.741,3014.0,384.8,9998
-28.95647,-33.53825,2986.496,3007.0,379.9,9998
-28.96037,-33.46637,2956.819,2978.0,384.3,9998
-28.95009,-33.39452,2896.772,2913.0,385.6,9998
-28.88236,-33.33424,2901.882,2925.0,377.1,9998
-28.75062,-33.41068,3035.897,3055.0,309.1,9998
-28.68074,-34.39694,3989.866,4001.0,162.3,9998
-29.16759,-34.29783,3237.888,3188.0,985.1,9998
-29.16579,-34.15637,3506.824,3451.0,909.0,9998
-29.16315,-34.26675,3358.466,3367.0,978.5,9998
-29.20849,-34.4631,3017.674,3036.0,1162.5,9998
-29.28154,-34.60609,2842.512,2750.0,1310.1,9998
-29.4362,-34.86682,2777.007,2775.0,1546.8,9998
-29.61392,-35.74756,3012.291,3016.0,1821.6,9998
-29.10983,-37.3812,4344.697,4351.0,1341.3,9998
-29.84618,-38.01665,4002.953,4023.0,1108.6,9998
-30.11975,-38.21858,3856.509,3880.0,556.7,9998
-30.21862,-38.3546,3826.24,3808.0,379.8,9998
-30.31262,-38.29105,3677.885,3689.0,314.7,9998
-1.52546,-25.42781,4188.669,4767.0,1959.0,9998
-1.55365,-25.41492,3947.946,4663.0,1974.8,9998
-1.58902,-25.40601,3951.85,4767.0,2134.8,9998
-1.62652,-25.39808,3948.53,4317.0,2280.9,9998
-1.6883,-25.41036,4479.491,4384.0,2811.6,9998
-1.89206,-25.46135,5032.816,5039.0,3893.5,9998
-1.86783,-25.46068,5126.753,5144.0,3862.5,9998
-21.93048,-24.9469,4006.313,5516.0,1273.0,9998
-21.9408,-24.97277,3942.711,5451.0,1247.2,9998
-21.96898,-25.07913,5249.711,5489.0,1639.4,9998
-21.98928,-25.12767,5121.535,5101.0,1574.3,9998
-22.08356,-25.24888,5320.664,5360.0,1535.4,9998
-22.10576,-25.29686,5344.217,5479.0,1518.8,9998
-22.12657,-25.39301,5375.331,5376.0,1494.7,9998
-22.14182,-25.2729,5387.347,5394.0,1515.2,9998
-22.21983,-25.3248,5154.162,5335.0,1403.4,9998
-22.34066,-25.15328,5318.733,5362.0,1411.8,-1
-22.14556,-24.99726,5241.309,5320.0,1510.0,-1
-21.99895,-24.93416,5349.295,5397.0,1656.7,9998
-21.97482,-24.7003,5107.855,5487.0,1592.9,9998
-22.05592,-24.71364,5337.059,5512.0,1607.3,9998
-22.40113,-24.54333,5088.302,5131.0,1267.3,-1
-22.44154,-24.61748,5195.809,5144.0,1287.5,-1
-22.52708,-24.53433,5337.769,5251.0,1281.5,-1
-22.96088,-24.67275,5247.917,5341.0,1115.9,-1
-22.72677,-23.42187,4987.616,5191.0,971.5,-1
-22.60025,-23.29731,4934.923,4962.0,1088.4,-1
-22.19752,-23.07957,5538.114,5445.0,1737.8,-1
-22.02474,-23.20267,5238.246,5189.0,1679.2,9998
-21.4816,-23.62323,5103.84,5113.0,1834.1,-1
-21.44104,-23.62968,5244.164,5225.0,1848.0,-1
-21.58133,-23.52969,4973.417,4793.0,1804.6,-1
-21.49626,-23.58882,4731.201,4957.0,1707.0,-1
-21.59811,-23.59276,4889.488,4995.0,1791.3,-1
-21.35483,-23.50936,5170.553,5104.0,1777.8,-1
-21.12689,-23.24916,5239.707,5020.0,1725.9,-1
-21.11682,-23.15757,4967.54,4938.0,1653.6,-1
-20.61431,-23.73359,5240.163,5226.0,1146.2,-1
-20.54658,-23.83181,5234.751,5318.0,1042.9,-1
-20.46904,-23.91939,5089.209,5070.0,909.8,-1
-20.30982,-24.14614,5544.287,5497.0,695.5,-1
-20.248,-24.18878,5295.471,5261.0,584.0,-1
-20.10586,-24.23225,5054.176,4941.0,454.1,-1
-20.03278,-24.37376,4926.972,4929.0,457.6,9998
-20.03521,-24.38821,4953.393,4968.0,465.2,9998
-20.03897,-24.4014,4897.63,5134.0,464.6,9998
-19.75069,-24.31584,5546.603,5561.0,579.7,9998
-19.47777,-23.94678,5451.721,5363.0,638.7,-1
-19.61183,-23.95821,5316.523,5296.0,489.0,-1
-19.63997,-23.87142,5239.69,5202.0,420.9,-1
-19.54665,-23.70249,5443.46,5327.0,471.3,-1
-19.58767,-23.52233,5321.961,5125.0,395.8,-1
-19.62192,-23.35775,5326.994,5089.0,377.7,-1
