WMO,lon,lat,grnd,uncertainty,tid_flag,SID,gebco,uncertainty2,tid_flag2,gebco2
69029706,-47.10241167,51.668085,-3765.564114,2844.825522,9998,33401,-3772.78311763,2764.6,-1,-3773.0
690298364,-10.9177,-8.742673333,-3632.731315,736.8158512,9998,33401,-3528.0039502,712.6,-1,-3535.0
690176385,-16.96415167,44.14212667,-3538.046322,1331.489958,-1,33401,-3513.38853001,790.0,9998,-3513.0
690281884,-38.45897333,61.49964333,-2509.448334,603.7920606,-1,33401,-2473.14778763,575.1,9998,-2475.0
690326872,19.965925,36.10569833,-3219.195636,795.7307939,9998,33401,-3167.71969731,749.7,-1,-3168.0
69030346,-52.19347,59.63393,-3415.283029,1344.543388,9998,33401,-3417.40297311,1335.0,-1,-3417.0
69030326,-52.37961,59.56115,-3412.378789,1606.334771,9998,33401,-3405.30058518,1556.3,-1,-3405.0
69030306,-51.41991,55.78953,-3518.734683,2208.475297,9998,33401,-3532.94310642,2102.4,-1,-3533.0
69029766,-52.29116,57.99554,-3501.513259,1146.506481,-1,33401,-3507.90264248,1110.7,9998,-3508.0
690355752,-6.731105,68.54858,-2319.329402,922.2550633,-1,33401,-2376.46240032,462.6,9998,-2376.0
6902811117,-36.42146667,54.531375,-2698.826504,1242.808134,-1,33401,-2707.41196349,490.0,9998,-2706.0
690297520,-40.06973,51.861925,-2628.014085,2141.861468,-1,33401,-2765.72219422,2082.8,9998,-2763.0
69028886,-54.90251,61.73975,-2772.497594,2270.378084,9998,33401,-2765.91799978,2168.2,-1,-2766.0
69028866,-53.810725,60.95038333,-3041.318545,742.681277,9998,33401,-3048.43357006,826.6,-1,-3048.0
690355616,-1.763608333,67.37138833,-3068.204702,757.98479,-1,33401,-2916.40328782,778.1,9998,-2929.0
690297211,-30.53557,47.49552,-3496.963549,1331.484532,9998,33401,-3683.12181915,1278.0,-1,-3690.0
690175611,-31.04567,47.85601,-3771.740885,978.9434552,-1,33401,-3780.40055727,932.9,9998,-3777.0
690288184,-37.21061333,62.646565,-2110.57659,1041.063456,9998,33401,-2106.84471466,1090.9,9998,-2106.0
690288284,-39.67468667,59.215585,-2998.771969,1210.115289,-1,33401,-2998.37722393,1246.8,9998,-2998.0
690326873,20.00756833,36.06680833,-3144.888667,757.7010557,9998,33401,-3126.06444683,722.2,9998,-3127.0
69029707,-46.75856167,51.478745,-3770.497611,2310.305864,9998,33401,-3798.61758927,2407.7,-1,-3795.0
690176386,-16.99814667,44.08627833,-3481.474406,1373.078872,9998,33401,-3433.11421582,770.0,9998,-3432.0
690281885,-39.820165,60.51734,-2553.680214,1037.666162,9998,33401,-2604.77368225,943.3,9998,-2602.0
690326874,20.02460833,36.04092333,-3141.961683,748.5871378,-1,33401,-3136.31994775,713.3,9998,-3138.0
69030347,-53.59193,59.1742,-3462.194685,941.9271806,9998,33401,-3339.7439953,915.9,9998,-3334.0
69030327,-53.93129,59.32042,-3349.075084,1233.326757,9998,33401,-3279.00029626,1181.1,-1,-3278.0
69029767,-52.65315833,58.30989833,-3456.591862,1210.942708,9998,33401,-3489.10275226,1218.4,-1,-3487.0
69030307,-51.73387,56.29413,-3604.327744,578.1780358,9998,33401,-3602.91373438,472.9,9998,-3603.0
690298462,-22.62263,0.07239,-3747.533701,2482.160938,9998,33401,-3917.53832933,2374.3,9998,-3920.0
690355753,-6.349138333,68.18730667,-2758.532758,587.4039643,-1,33401,-2742.29469282,414.5,9998,-2747.0
6902811118,-36.65086167,54.55785167,-2766.317723,1828.613182,9998,33401,-2770.16013766,707.9,9998,-2778.0
69028887,-56.86755333,61.65772,-2714.837142,1418.622136,9998,33401,-2704.96661218,1334.8,9998,-2708.0
690297521,-40.13052167,52.00271333,-2828.566727,2348.968921,-1,33401,-2854.31513293,2267.9,9998,-2854.0
69028867,-54.31587,61.06151,-2970.01046,841.0513781,9998,33401,-2977.90277726,775.2,9998,-2978.0
690297212,-30.457685,47.40854,-3258.854134,1398.333713,9998,33401,-3486.56035987,1380.9,-1,-3483.0
690288185,-37.36519667,61.911655,-2593.514778,571.3972138,9998,33401,-2583.69701819,570.4,9998,-2584.0
690288285,-39.76379667,58.83297667,-3063.316,1153.103008,-1,33401,-3074.95030817,1098.4,9998,-3075.0
690326875,20.02556167,35.99404167,-3212.383113,802.2400493,-1,33401,-3222.88959135,762.0,9998,-3219.0
690298366,-10.728015,-8.787926667,-3832.060108,795.3015442,9998,33401,-3789.112461,770.5,-1,-3792.0
690160412,-36.09685333,48.92564167,-3514.059886,980.2447335,9998,33401,-3484.76258499,948.6,-1,-3479.0
690176387,-17.78837,43.97201,-3798.427699,982.6772856,-1,33401,-4396.35638895,694.7,9998,-4403.0
690281886,-39.14794333,60.14807833,-2744.491984,138.1888525,9998,33401,-2730.13437157,101.0,9998,-2730.0
690326876,19.99068,35.8814,-3179.168855,808.7833963,-1,33401,-3147.98838496,780.0,9998,-3145.0
69030328,-54.04203833,59.51997333,-3272.953951,1193.134761,9998,33401,-3285.40934275,1195.2,-1,-3285.0
69030348,-54.18103,58.75797,-3400.903321,437.5900487,9998,33401,-3401.87880192,415.8,-1,-3402.0
69029768,-52.9245,58.46034,-3438.0297,947.9076427,9998,33401,-3432.95409118,994.4,-1,-3433.0
69030308,-50.58961,56.59048333,-3613.978284,320.4216837,-1,33401,-3617.20718957,319.5,9998,-3617.0
690355754,-6.21376,67.92695,-2894.35105,122.1836378,-1,33401,-2931.57137106,76.9,9998,-2930.0
6902811119,-36.22356333,54.47478,-2751.666102,636.5441293,-1,33401,-2750.32899127,164.1,9998,-2753.0
69028888,-57.43651,61.52459,-2699.220782,1402.39088,9998,33401,-2706.48581053,1292.0,9998,-2704.0
690297522,-40.11168833,51.94360333,-2809.99853,2300.228705,-1,33401,-2828.44732754,2252.3,9998,-2829.0
69028868,-55.17687833,61.14373333,-2887.940324,1334.845282,9998,33401,-2886.00284999,1327.8,9998,-2886.0
690297213,-30.443325,47.57943,-3373.998127,1261.278919,9998,33401,-3348.16211489,1222.3,9998,-3345.0
690288186,-38.28598,61.40010833,-2602.421624,514.6448753,9998,33401,-2583.20381123,484.7,9998,-2583.0
690288286,-40.47303833,58.331555,-3154.230282,1031.098683,-1,33401,-3162.87095868,998.3,9998,-3163.0
690326877,20.05916,35.70944333,-3108.795737,702.3353999,-1,33401,-3097.53773445,673.1,9998,-3104.0
69030299,-47.28744167,51.37765167,-3616.605185,2108.71078,9998,33401,-3674.84235987,2115.1,-1,-3676.0
